date,code,name,rsi,rsi_signal,macd,macd_signal_line,macd_histogram,macd_cross,bb_upper,bb_lower,bb_mid,bb_percent_b,bb_position,verdict_score,verdict_label,bars_used,warmup_insufficient,unavailable_reasons
2026-08-25,005930,삼성전자,49.24,neutral,-740.94,-4649.79,3908.86,,289616.38,203883.62,246750.0,0.6196,inside,0,중립,268,false,
2026-08-25,000660,SK하이닉스,49.21,neutral,-61765.63,-105457.52,43691.88,,1803771.57,1320128.43,1561950.0,0.7399,inside,0,중립,268,false,
2026-08-25,005935,삼성전자우,53.31,neutral,2274.16,-326.16,2600.31,,209018.47,150961.53,179990.0,0.7499,inside,0,중립,268,false,
2026-08-25,402340,SK스퀘어,47.16,neutral,-33900.18,-54960.12,21059.94,,1219099.68,824400.32,1021750.0,0.5969,inside,0,중립,268,false,
2026-08-25,009150,삼성전기,49.51,neutral,-15649.79,-34989.85,19340.06,,1597666.5,956733.5,1277200.0,0.6323,inside,0,중립,268,false,
2026-08-25,005380,현대차,49.02,neutral,-6887.18,-12899.74,6012.56,,452630.65,352419.35,402525.0,0.6844,inside,0,중립,268,false,
2026-08-25,373220,LG에너지솔루션,50.1,neutral,3314.37,2095.08,1219.29,,384601.48,303848.52,344225.0,0.5653,inside,0,중립,268,false,
2026-08-25,207940,삼성바이오로직스,59.28,neutral,36589.6,37271.58,-681.98,,1624755.86,1444944.14,1534850.0,0.7789,inside,0,중립,268,false,
2026-08-25,028260,삼성물산,51.18,neutral,475.48,-5783.4,6258.88,,400530.56,288919.44,344725.0,0.6996,inside,0,중립,268,false,
2026-08-25,105560,KB금융,48.51,neutral,-1210.34,-513.54,-696.81,,174933.22,159776.78,167355.0,0.437,inside,0,중립,268,false,
2026-08-25,032830,삼성생명,45.48,neutral,-9281.63,-12649.73,3368.1,,321283.33,258316.67,289800.0,0.4238,inside,0,중립,268,false,
2026-08-25,012450,한화에어로스페이스,53.4,neutral,35670.58,32158.39,3512.19,,1289542.3,818557.7,1054050.0,0.6018,inside,0,중립,268,false,
2026-08-25,000270,기아,48.55,neutral,-1998.62,-2537.03,538.41,,142984.42,120885.58,131935.0,0.6342,inside,0,중립,268,false,
2026-08-25,055550,신한지주,54.1,neutral,426.85,582.84,-155.99,,109937.3,98252.7,104095.0,0.7058,inside,0,중립,268,false,
